Company Name,Industry,Open_price,High_price,Low_price,Price_Range,Last_Traded_Price,Share_Volume,Value_Indian_Rupees,52 _Week_High,52 _Week_Low,365 Day Percentage Change,30 Day Percentage Change,Potential_Growth %,Risk %,Momentum_Score,Investment_Score
Mahindra Holidays & Resorts India Ltd.,Consumer Services,213.5,231,211.1,19.9,227,1395618,315423624.2,274.9,165.43,14.26,3.01,21.1,27.12,10.89,31.99
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,1578,1587,1558.9,28.1,1563,15467,24327425.62,1985,1342.2,5.56,3.26,27,14.13,4.87,31.87
Bayer Cropscience Ltd.,Chemicals,5032.15,5135,4982,153,5105,5806,29271761.84,6130,4218.05,13.5,7.24,20.08,17.37,11.62,31.7
Mahindra & Mahindra Ltd.,Automobile and Auto Components,1092.4,1113.35,1064,49.35,1107,2839545,3101862167,1121.45,671.15,40.56,5.68,1.31,39.37,30.1,31.4
Westlife Development Ltd.,Consumer Services,498,508,490.05,17.95,491,50304,25038816,629,402.3,0.46,9.25,28.11,18.07,3.1,31.2
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,1488.8,1520,1484.35,35.65,1515.1,437561,661491593,1823.4,1375.6,11.8,8.63,20.35,9.21,10.85,31.2
Balkrishna Industries Ltd.,Automobile and Auto Components,2125,2179,2109.5,69.5,2178.85,142057,304220747.8,2723.8,1690.55,4.02,8.11,25.01,22.41,5.25,30.26
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,700,722.95,697,25.95,721.5,954981,679086989.1,889,650.2,6.37,7.03,23.22,9.88,6.57,29.78
ABB India Ltd.,Capital Goods,2260.35,2311.5,2260.35,51.15,2280,97053,221093527.7,2487.85,1618.05,27.25,5.21,9.12,29.03,20.64,29.75
Power Grid Corporation of India Ltd.,Power,211.05,212.9,205.2,7.7,206.55,8350248,1735766052,248.35,167.15,8.82,9.02,20.24,19.08,8.88,29.12
SIS Ltd.,Services,456,456,449.8,6.2,452,29489,13327553.55,560,420,5.56,3.31,23.89,7.08,4.89,28.78
Galaxy Surfactants Ltd.,Chemicals,2934.6,2934.6,2838,96.6,2849.95,18915,53998352.85,3585.65,2585,3.4,1.68,25.81,9.3,2.88,28.7
Syngene International Ltd.,Healthcare,550,564.1,544.8,19.3,563,135870,75301871.4,700,510.05,4.89,3.1,24.33,9.4,4.35,28.69
Devyani International Ltd.,Consumer Services,156.35,159.7,152.7,7,158,1367282,214950403.2,198.9,107.55,0,8.89,25.89,31.93,2.67,28.55
Adani Transmission Ltd.,Power,2500,2583.7,2226.3,357.4,2452,741152,1847854989,3000,863,0,20.37,22.35,64.8,6.11,28.46
